상태,공고번호,등록번호
종료(반환),서울-영등포-2024-00066,
종료(반환),서울-구로-2024-00110,
종료(반환),서울-강서-2024-00129,
종료(반환),서울-은평-2024-00148,410100011100399
종료(반환),서울-중구-2024-00035,410097800297857
종료(반환),서울-은평-2024-00145,
종료(반환),서울-송파-2024-00114,410160011867961
종료(반환),서울-도봉-2024-00092,
종료(반환),서울-관악-2024-00157,410160010419067
종료(반환),서울-용산-2024-00145,
종료(반환),서울-은평-2024-00144,
종료(반환),서울-노원-2024-00108,
종료(반환),서울-노원-2024-00107,
종료(반환),서울-강동-2024-00125,
종료(반환),서울-서대문-2024-00079,
종료(반환),서울-동대문-2024-00165,
종료(반환),서울-관악-2024-00156,
종료(반환),서울-영등포-2024-00064,410160011862174
종료(반환),서울-도봉-2024-00091,410160010965570
종료(반환),서울-광진-2024-00075,
종료(반환),서울-종로-2024-00125,
종료(반환),서울-동작-2024-00109,
종료(반환),서울-용산-2024-00144,410160020150920
종료(반환),서울-송파-2024-00113,
종료(반환),서울-동작-2024-00107,
종료(반환),서울-종로-2024-00120,
종료(반환),서울-서초-2024-00072,410097800256663
종료(반환),서울-동작-2024-00106,410093300020429
종료(반환),서울-관악-2024-00155,410160010417565
종료(반환),서울-금천-2024-00087,
종료(반환),서울-성북-2024-00111,410160020131780
종료(반환),서울-성북-2024-00110,
종료(반환),서울-관악-2024-00154,410160010419067
종료(반환),서울-관악-2024-00152,410160010959638
종료(반환),서울-구로-2024-00107,
종료(반환),서울-용산-2024-00142,410097800466321
종료(반환),서울-서대문-2024-00076,
종료(반환),서울-용산-2024-00141,410097800414664
종료(반환),서울-영등포-2024-00061,900219001383460
종료(반환),서울-구로-2024-00103,410160011863717
종료(반환),서울-구로-2024-00102,
종료(반환),서울-강북-2024-00122,
종료(반환),서울-서대문-2024-00075,
종료(반환),서울-은평-2024-00141,410100012350167
종료(반환),서울-구로-2024-00101,
종료(반환),서울-강서-2024-00119,
종료(반환),서울-송파-2024-00111,
종료(반환),서울-강북-2024-00120,
종료(반환),서울-강동-2024-00121,
종료(반환),서울-구로-2024-00097,
종료(반환),서울-구로-2024-00096,
종료(반환),서울-강서-2024-00118,410160010957532
종료(반환),서울-노원-2024-00101,410097800516853
종료(반환),서울-용산-2024-00138,410097800411987
종료(반환),서울-송파-2024-00108,
종료(반환),서울-송파-2024-00107,410093300003123
종료(반환),서울-금천-2024-00081,410097800516162
종료(반환),서울-강서-2024-00116,
종료(반환),서울-용산-2024-00136,
종료(반환),서울-용산-2024-00133,
종료(반환),서울-강서-2024-00117,
종료(반환),서울-은평-2024-00139,
종료(반환),서울-송파-2024-00103,
종료(반환),서울-성북-2024-00105,410100012802554
종료(반환),서울-관악-2024-00146,410160010753359
종료(반환),서울-중랑-2024-00095,
종료(반환),서울-송파-2024-00101,
종료(반환),서울-강서-2024-00115,
종료(반환),서울-성북-2024-00104,410100008165987
